AG.01	N-1323145	17.6	-61.8	Barbuda
EG.23	N-300837	25.8	32.8	قنا
EG.23	N-300837	25.8	32.8	قنا
EG.23	N-300837	25.8	32.8	Muhafazat Qina
EG.23	N-300837	25.8	32.8	Mohafazat Qena
EG.23	N-300837	25.8	32.8	Mudiriyat Qina
EG.23	N-300837	25.8	32.8	Qina
EG.27	N-301990	30.5	33.7	North Sinai
EG.27	N-301990	30.5	33.7	Muhafazet Shamal Sina
EG.27	N-301990	30.5	33.7	Muhafazat Shamal Sina
EG.27	N-301990	30.5	33.7	Shamal Sina
EG.27	N-301990	30.5	33.7	شمال سيناء
EG.27	N-301990	30.5	33.7	شمال سيناء
EG.0	N10744132	29.1	29.6	As Sādis min Uktūbar
EG.0	N10744132	29.1	29.6	السادس من أكتوبر
EG.0	N10744132	29.1	29.6	As Sadis min Uktubar
EG.0	N10744132	29.1	29.6	السادس من أكتوبر
EG.0	N10744133	29.7	31.6	Muhafazat Halwan
EG.0	N10744133	29.7	31.6	حلوان
EG.0	N10744133	29.7	31.6	حلوان
EG.0	N10744133	29.7	31.6	Halwan
IE.34	N10934242	53.2	-6.2	Contae Dhun Laoghaire-Rath an Duin
IE.34	N10934242	53.2	-6.2	County Dun Laoghaire-Rathdown
IE.34	N10934242	53.2	-6.2	Dun Laoghaire-Rath an Duin
IE.34	N10934242	53.2	-6.2	Dun Laoghaire-Rathdown
IE.33	N10934239	53.4	-6.3	Dublin
IE.33	N10934239	53.4	-6.3	Baile Atha Cliath
IE.33	N10934239	53.4	-6.3	Dublin
IE.33	N10934239	53.4	-6.3	Baile Átha Cliath
IE.02	N-1501590	54.0	-7.3	Cavan
IE.02	N-1501590	54.0	-7.3	An Cabhán
IE.02	N-1501590	54.0	-7.3	An Cabhan
IE.02	N-1501590	54.0	-7.3	Cavan
IE.22	N-1504567	54.2	-6.9	Contae Mhuineachain
IE.22	N-1504567	54.2	-6.9	County Monaghan
IE.22	N-1504567	54.2	-6.9	Monaghan
IE.22	N-1504567	54.2	-6.9	Muineachan
IE.18	N-1504293	53.7	-7.7	An Longfort
IE.18	N-1504293	53.7	-7.7	County Longford
IE.18	N-1504293	53.7	-7.7	An Longfort
IE.18	N-1504293	53.7	-7.7	Longford
IE.35	N10934240	53.5	-6.2	Fingal
IE.35	N10934240	53.5	-6.2	Contae Fhine Gall
IE.35	N10934240	53.5	-6.2	County Fingal
IE.35	N10934240	53.5	-6.2	Fine Gall
IE.39	N10934241	53.3	-6.4	Baile Átha Cliath Theas
IE.39	N10934241	53.3	-6.4	County South Dublin
IE.39	N10934241	53.3	-6.4	Baile Atha Cliath Theas
IE.39	N10934241	53.3	-6.4	South Dublin
IE.21	N-1504473	53.6	-6.7	County Meath
IE.21	N-1504473	53.6	-6.7	An Mhí
IE.21	N-1504473	53.6	-6.7	An Mhi
IE.21	N-1504473	53.6	-6.7	Meath
IE.12	N-1503696	53.2	-6.8	Cill Dara
IE.12	N-1503696	53.2	-6.8	County Kildare
IE.12	N-1503696	53.2	-6.8	Cill Dara
IE.12	N-1503696	53.2	-6.8	Kildare
IE.06	N-1502377	54.9	-8.0	Tirconaill
IE.06	N-1502377	54.9	-8.0	Contae Dhun na nGall
IE.06	N-1502377	54.9	-8.0	County Donegal
IE.06	N-1502377	54.9	-8.0	Donegal
IE.06	N-1502377	54.9	-8.0	Dun na nGall
IE.32	N10932352	51.9	-8.5	Cathair Chorcai
IE.32	N10932352	51.9	-8.5	Cork
IE.32	N10932352	51.9	-8.5	Corcaigh
IE.32	N10932352	51.9	-8.5	Cork
IE.19	N-1504339	53.8	-6.5	County Louth
IE.19	N-1504339	53.8	-6.5	Contae Lu
IE.19	N-1504339	53.8	-6.5	Louth
IE.19	N-1504339	53.8	-6.5	Lu
IE.20	N-1504468	53.9	-9.2	County Mayo
IE.20	N-1504468	53.9	-9.2	Contae Mhaigh Eo
IE.20	N-1504468	53.9	-9.2	Maigh Eo
IE.20	N-1504468	53.9	-9.2	Mayo
IE.23	N-1504948	53.2	-7.5	Offally
IE.23	N-1504948	53.2	-7.5	King's County
IE.23	N-1504948	53.2	-7.5	Contae Uibh Fhaili
IE.23	N-1504948	53.2	-7.5	Offaly
IE.23	N-1504948	53.2	-7.5	Uibh Fhaili
IE.23	N-1504948	53.2	-7.5	County Offaly
IE.24	N-1505404	53.8	-8.2	Contae Ros Comain
IE.24	N-1505404	53.8	-8.2	County Roscommon
IE.24	N-1505404	53.8	-8.2	Ros Comain
IE.24	N-1505404	53.8	-8.2	Roscommon
IE.03	N-1501647	52.8	-9.0	An Clár
IE.03	N-1501647	52.8	-9.0	Clare
IE.03	N-1501647	52.8	-9.0	An Clar
IE.03	N-1501647	52.8	-9.0	Clare
IE.13	N-1503734	52.6	-7.2	Cantae Chill Chainnigh
IE.13	N-1503734	52.6	-7.2	Cill Chainnigh
IE.13	N-1503734	52.6	-7.2	County Kilkenny
IE.13	N-1503734	52.6	-7.2	Cill Chainnigh
IE.13	N-1503734	52.6	-7.2	Kilkenny
IE.14	N-1504156	54.1	-8.0	County Leitrim
IE.14	N-1504156	54.1	-8.0	Contae Liatroma
IE.14	N-1504156	54.1	-8.0	Leitrim
IE.14	N-1504156	54.1	-8.0	Liatroim
IE.36	N10934243	53.3	-9.0	Cathair na Gaillimhe
IE.36	N10934243	53.3	-9.0	Galway
IE.36	N10934243	53.3	-9.0	Gaillimh
IE.36	N10934243	53.3	-9.0	Galway
IE.10	N-1502951	53.4	-8.8	Contae na Gaillimhe
IE.10	N-1502951	53.4	-8.8	County Galway
IE.10	N-1502951	53.4	-8.8	Gaillimh
IE.10	N-1502951	53.4	-8.8	Galway
IE.44	N12181392	52.2	-7.5	City and County Waterford
IE.44	N12181392	52.2	-7.5	Port Lairge
IE.44	N12181392	52.2	-7.5	Waterford
IE.44	N12181392	52.2	-7.5	Cathair agus Contae Phort Lairge
IE.42	N12181440	52.5	-8.8	City and County Limerick
IE.42	N12181440	52.5	-8.8	Luimneach
IE.42	N12181440	52.5	-8.8	Limerick
IE.42	N12181440	52.5	-8.8	Cathair agus Contae Luimnigh
IE.25	N-1505715	54.1	-8.6	Contae Shligigh
IE.25	N-1505715	54.1	-8.6	County Sligo
IE.25	N-1505715	54.1	-8.6	Sligeach
IE.25	N-1505715	54.1	-8.6	Sligo
IE.31	N-1506205	53.0	-6.4	Cill Mhantáin
IE.31	N-1506205	53.0	-6.4	County Wicklow
IE.31	N-1506205	53.0	-6.4	Cill Mhantain
IE.31	N-1506205	53.0	-6.4	Wicklow
IE.30	N-1506177	52.5	-6.6	County Wexford
IE.30	N-1506177	52.5	-6.6	Loch Garman
IE.30	N-1506177	52.5	-6.6	Wexford
IE.30	N-1506177	52.5	-6.6	Contae Loch Garman
IE.01	N-1501357	52.7	-6.8	Carlow
IE.01	N-1501357	52.7	-6.8	Ceatharlach
IE.01	N-1501357	52.7	-6.8	Carlow
IE.01	N-1501357	52.7	-6.8	Ceatharlach
IE.29	N-1506168	53.5	-7.5	An Iarmhí
IE.29	N-1506168	53.5	-7.5	County Westmeath
IE.29	N-1506168	53.5	-7.5	An Iarmhi
IE.29	N-1506168	53.5	-7.5	Westmeath
IE.15	N-1504100	53.0	-7.4	Queen's County
IE.15	N-1504100	53.0	-7.4	Leix
IE.15	N-1504100	53.0	-7.4	Laoighise
IE.15	N-1504100	53.0	-7.4	Laoighis
IE.15	N-1504100	53.0	-7.4	County Laois
IE.15	N-1504100	53.0	-7.4	Contae Laoise
IE.15	N-1504100	53.0	-7.4	Laois
IE.15	N-1504100	53.0	-7.4	Laois
IE.15	N-1504100	53.0	-7.4	Laoise
IE.43	N-1505947	52.7	-7.9	Tipperary
IE.43	N-1505947	52.7	-7.9	County Tipperary
IE.43	N-1505947	52.7	-7.9	Tiobraid Arann
IE.43	N-1505947	52.7	-7.9	Contae Thiobraid Arann
IE.04	N-1501987	51.9	-8.8	Contae Chorcai
IE.04	N-1501987	51.9	-8.8	Cork
IE.04	N-1501987	51.9	-8.8	Corcaigh
IE.04	N-1501987	51.9	-8.8	Cork
IE.11	N-1503613	52.1	-9.6	Ciarraí
IE.11	N-1503613	52.1	-9.6	County Kerry
IE.11	N-1503613	52.1	-9.6	Ciarrai
IE.11	N-1503613	52.1	-9.6	Kerry
IE.0	N10934244	52.7	-8.7	Luimneach
IE.0	N10934244	52.7	-8.7	Limerick
IE.0	N10934244	52.7	-8.7	Cathair Luimnigh
IE.0	N10934244	52.7	-8.7	Limerick
IE.0	N10934235	52.5	-7.9	County South Tipperary
IE.0	N10934235	52.5	-7.9	Contae Thiobraid Arann Theas
IE.0	N10934235	52.5	-7.9	South Tipperary
IE.0	N10934235	52.5	-7.9	Tiobraid Arann Theas
IE.0	N10934234	52.8	-8.1	County North Tipperary
IE.0	N10934234	52.8	-8.1	Contae Thiobraid Arann Thuaidh
IE.0	N10934234	52.8	-8.1	North Tipperary
IE.0	N10934234	52.8	-8.1	Tiobraid Arann Thuaidh
IE.0	N-1504191	52.5	-8.8	County Limerick
IE.0	N-1504191	52.5	-8.8	Contae Luimnigh
IE.0	N-1504191	52.5	-8.8	Limerick
IE.0	N-1504191	52.5	-8.8	Luimneach
IE.0	N10934245	52.2	-7.1	Cathair Phort Lairge
IE.0	N10934245	52.2	-7.1	Waterford
IE.0	N10934245	52.2	-7.1	Port Lairge
IE.0	N10934245	52.2	-7.1	Waterford
IE.0	N-1506149	52.2	-7.5	Contae Phort Lairge
IE.0	N-1506149	52.2	-7.5	County Waterford
IE.0	N-1506149	52.2	-7.5	Port Lairge
IE.0	N-1506149	52.2	-7.5	Waterford
GQ.05	N53702	3.4	8.7	Bioko Sur
GQ.05	N53702	3.4	8.7	Bioko Sur
GQ.08	N53706	1.5	9.8	Litoral
GQ.08	N53706	1.5	9.8	Litoral
GQ.06	N53703	1.5	10.4	Centro Sur
GQ.06	N53703	1.5	10.4	Centro Sur
GQ.03	N-2063678	-1.4	5.6	Administracion Territorial de Annobon
GQ.03	N-2063678	-1.4	5.6	Demarcacion de Annobon
GQ.03	N-2063678	-1.4	5.6	Isla de Annobon
GQ.03	N-2063678	-1.4	5.6	Annobon
GQ.03	N-2063678	-1.4	5.6	Annobón
GQ.04	N53701	3.7	8.8	Bioko Norte
GQ.04	N53701	3.7	8.8	Bioko Norte
GQ.07	N53705	2.0	11.0	Kie-Ntem
GQ.07	N53705	2.0	11.0	Kié-Ntem
GQ.09	N53709	1.5	11.1	Wele-Nzas
GQ.09	N53709	1.5	11.1	Provincia de Wele-Nzas
GQ.10	N14999107	1.6	10.8	Djibloho
GQ.10	N14999107	1.6	10.8	Provincia de Djibloho
EE.22	N14524413	59.2	27.4	Alutaguse Vald
EE.22	N14524413	59.2	27.4	Alutaguse
EE.25	N14524705	58.2	26.3	Elva Vald
EE.25	N14524705	58.2	26.3	Elva
EE.23	N14228442	59.3	25.5	Anija Vald
EE.23	N14228442	59.3	25.5	Anija
EE.24	N14231635	57.8	26.6	Antsla Vald
EE.24	N14231635	57.8	26.6	Antsla
EE.54	N14224776	58.9	24.4	Marjamaa Vald
EE.54	N14224776	58.9	24.4	Marjamaa
EE.28	N14228600	59.5	26.1	Haljala Vald
EE.28	N14228600	59.5	26.1	Haljala
EE.0	N9044226	59.4	24.8	Tallinn
EE.0	N9044223	58.4	24.5	Parnu
EE.0	N9044208	59.4	27.2	Kohtla-Jarve
EE.0	N9044225	59.4	27.8	Sillamae
EE.0	N9044227	58.4	26.7	Tartu
EE.0	N9044211	59.4	28.2	Narva
EE.29	N14228357	59.4	24.4	Harku Vald
EE.29	N14228357	59.4	24.4	Harku
EE.26	N14227638	58.2	24.6	Haademeeste Vald
EE.26	N14227638	58.2	24.6	Haademeeste
EE.27	N14524416	58.9	23.6	Haapsalu Linn
EE.27	N14524416	58.9	23.6	Haapsalu
EE.55	N14217085	58.6	23.2	Muhu Vald
EE.55	N14217085	58.6	23.2	Muhu
EE.30	N14524704	58.9	22.6	Hiiumaa Vald
EE.30	N14524704	58.9	22.6	Hiiumaa
EE.31	N14524415	59.0	25.9	Jarva Vald
EE.31	N14524415	59.0	25.9	Jarva
EE.33	N14229862	58.8	26.5	Jogeva Vald
EE.33	N14229862	58.8	26.5	Jogeva
EE.34	N14229831	59.3	27.4	Johvi Vald
EE.34	N14229831	59.3	27.4	Johvi
EE.35	N14228603	59.4	26.0	Kadrina Vald
EE.35	N14228603	59.4	26.0	Kadrina
EE.36	N14231404	58.2	26.7	Kambja Vald
EE.36	N14231404	58.2	26.7	Kambja
EE.37	N14231584	58.1	26.8	Kanepi Vald
EE.37	N14231584	58.1	26.8	Kanepi
EE.38	N14524706	58.3	27.1	Kastre Vald
EE.38	N14524706	58.3	27.1	Kastre
EE.69	N14228439	59.3	25.1	Raasiku Vald
EE.69	N14228439	59.3	25.1	Raasiku
EE.70	N14228438	59.3	24.9	Rae Vald
EE.70	N14228438	59.3	24.9	Rae
EE.71	N14228601	59.3	26.4	Rakvere Linn
EE.71	N14228601	59.3	26.4	Rakvere
EE.72	N14228602	59.4	26.4	Rakvere Vald
EE.72	N14228602	59.4	26.4	Rakvere
EE.73	N14231547	58.2	27.4	Rapina Vald
EE.73	N14231547	58.2	27.4	Rapina
EE.74	N14218537	59.1	24.9	Rapla Vald
EE.74	N14218537	59.1	24.9	Rapla
EE.75	N14231626	57.7	26.9	Rouge Vald
EE.75	N14231626	57.7	26.9	Rouge
EE.76	N14524703	57.8	23.2	Ruhnu
EE.76	N14524703	57.8	23.2	Ruhnu Vald
EE.77	N14224778	58.2	24.9	Saarde Vald
EE.77	N14224778	58.2	24.9	Saarde
EE.78	N14524702	58.4	22.5	Saaremaa
EE.78	N14524702	58.4	22.5	Saaremaa Vald
EE.79	N14228422	59.3	24.7	Saku Vald
EE.79	N14228422	59.3	24.7	Saku
EE.80	N14228393	59.2	24.5	Saue Vald
EE.80	N14228393	59.2	24.5	Saue
EE.81	N14525528	57.8	27.5	Setomaa Vald
EE.81	N14525528	57.8	27.5	Setomaa
EE.82	N14228607	59.4	27.8	Sillamae Linn
EE.82	N14228607	59.4	27.8	Sillamae
EE.83	N14228437	59.4	24.8	Tallinna Linn
EE.83	N14228437	59.4	24.8	Tallinn
EE.39	N14218540	58.9	24.9	Kehtna Vald
EE.39	N14218540	58.9	24.9	Kehtna
EE.40	N14228353	59.3	24.4	Keila Linn
EE.40	N14228353	59.3	24.4	Keila
EE.41	N14227637	58.1	24.0	Kihnu Vald
EE.41	N14227637	58.1	24.0	Kihnu
EE.42	N14228436	59.3	24.9	Kiili Vald
EE.42	N14228436	59.3	24.9	Kiili
EE.43	N14218536	59.2	24.7	Kohila Vald
EE.43	N14218536	59.2	24.7	Kohila
EE.44	N14228608	59.4	27.3	Kohtla-Jarve Linn
EE.44	N14228608	59.4	27.3	Kohtla-Jarve
EE.45	N14228440	59.1	25.2	Kose Vald
EE.45	N14228440	59.1	25.2	Kose
EE.46	N14228443	59.5	25.6	Kuusalu Vald
EE.46	N14228443	59.5	25.6	Kuusalu
EE.47	N14524412	59.2	24.1	Laane-Harju Vald
EE.47	N14524412	59.2	24.1	Laane-Harju
EE.48	N14217092	59.0	23.8	Laane-Nigula Vald
EE.48	N14217092	59.0	23.8	Laane-Nigula
EE.49	N14524701	58.6	23.9	Laaneranna
EE.49	N14524701	58.6	23.9	Laaneranna Vald
EE.50	N14228584	59.6	25.7	Loksa Linn
EE.50	N14228584	59.6	25.7	Loksa
EE.51	N14229849	59.3	27.0	Luganuse Vald
EE.51	N14229849	59.3	27.0	Luganuse
EE.52	N14231394	58.4	26.9	Luunja Vald
EE.52	N14231394	58.4	26.9	Luunja
EE.53	N14228586	59.5	25.0	Maardu Linn
EE.53	N14228586	59.5	25.0	Maardu
EE.56	N14524707	58.1	25.4	Mulgi Vald
EE.56	N14524707	58.1	25.4	Mulgi
EE.57	N14524414	58.8	26.9	Mustvee Vald
EE.57	N14524414	58.8	26.9	Mustvee
EE.84	N14228590	59.2	25.9	Tapa Vald
EE.84	N14228590	59.2	25.9	Tapa
EE.86	N14231396	58.5	26.6	Tartu Vald
EE.86	N14231396	58.5	26.6	Tartu
EE.85	N14231398	58.4	26.6	Tartu Linn
EE.85	N14231398	58.4	26.6	Tartu
EE.87	N14229836	59.4	27.4	Toila Vald
EE.87	N14229836	59.4	27.4	Toila
EE.88	N14227636	58.5	24.7	Tori Vald
EE.88	N14227636	58.5	24.7	Tori
EE.89	N14524709	58.0	25.9	Torva Vald
EE.89	N14524709	58.0	25.9	Torva
EE.90	N14231828	58.8	25.4	Turi Vald
EE.90	N14231828	58.8	25.4	Turi
EE.91	N14228592	59.0	26.3	Vaike-Maarja Vald
EE.91	N14228592	59.0	26.3	Vaike-Maarja
EE.92	N14524710	57.8	26.3	Valga Vald
EE.92	N14524710	57.8	26.3	Valga
EE.93	N14228587	59.6	24.8	Viimsi Vald
EE.93	N14228587	59.6	24.8	Viimsi
EE.94	N14231779	58.4	25.6	Viljandi Linn
EE.94	N14231779	58.4	25.6	Viljandi
EE.95	N14231780	58.4	25.7	Viljandi Vald
EE.95	N14231780	58.4	25.7	Viljandi
EE.96	N14228595	59.2	26.6	Vinni Vald
EE.96	N14228595	59.2	26.6	Vinni
EE.97	N14228598	59.5	26.6	Viru-Nigula Vald
EE.97	N14228598	59.5	26.6	Viru-Nigula
EE.98	N-2626639	59.0	23.2	Vormsi Vald
EE.98	N-2626639	59.0	23.2	Vormsi
EE.99	N14231624	57.8	27.0	Voru Linn
EE.99	N14231624	57.8	27.0	Voru
EE.A1	N14231625	57.8	27.1	Voru Vald
EE.A1	N14231625	57.8	27.1	Voru
EE.58	N14228605	59.3	28.1	Narva Linn
EE.58	N14228605	59.3	28.1	Narva
EE.59	N14228606	59.3	27.9	Narva-Joesuu Linn
EE.59	N14228606	59.3	27.9	Narva-Joesuu
EE.60	N14231409	58.3	26.5	Noo Vald
EE.60	N14231409	58.3	26.5	Noo
EE.61	N14231650	58.0	26.4	Otepaa Vald
EE.61	N14231650	58.0	26.4	Otepaa
EE.62	N14231839	59.0	25.6	Paide Linn
EE.62	N14231839	59.0	25.6	Paide
EE.63	N14224783	58.4	24.4	Parnu Linn
EE.63	N14224783	58.4	24.4	Parnu
EE.64	N14231434	58.6	27.1	Peipsiaare Vald
EE.64	N14231434	58.6	27.1	Peipsiaare
EE.65	N14524667	58.6	24.8	Pohja-Parnumaa Vald
EE.65	N14524667	58.6	24.8	Pohja-Parnumaa
EE.66	N14524708	58.5	25.4	Pohja-Sakala Vald
EE.66	N14524708	58.5	25.4	Pohja-Sakala
EE.67	N14229866	58.7	26.1	Poltsamaa Vald
EE.67	N14229866	58.7	26.1	Poltsamaa
EE.68	N14231435	58.1	27.1	Polva Vald
EE.68	N14231435	58.1	27.1	Polva
EE.32	N14228585	59.4	25.1	Joelahtme Vald
EE.32	N14228585	59.4	25.1	Joelahtme
ER.02	N9165322	14.8	38.8	Dabub
ER.02	N9165322	14.8	38.8	Southern
ER.02	N9165322	14.8	38.8	Debub
ER.02	N9165322	14.8	38.8	Debub
ER.02	N9165322	14.8	38.8	South
ER.05	N9165356	15.3	38.9	Maekel
ER.05	N9165356	15.3	38.9	Ma'akal
ER.05	N9165356	15.3	38.9	Central
ER.05	N9165356	15.3	38.9	Ma'ikel
ER.05	N9165356	15.3	38.9	Zoba Ma'ikel
ER.05	N9165356	15.3	38.9	Ma'akel
ER.05	N9165356	15.3	38.9	Zoba Ma'ākel
ER.06	N9165358	16.0	39.0	Semien-Keih-Bahri
ER.06	N9165358	16.0	39.0	Samenawi Qayah Bahri
ER.06	N9165358	16.0	39.0	Northern Red Sea
ER.06	N9165358	16.0	39.0	Semenawi K'eyih Bahri
ER.06	N9165358	16.0	39.0	Zoba Semēnawī K'eyih Bahrī
ER.06	N9165358	16.0	39.0	Semienawi K'eyyih Bahri
ER.06	N9165358	16.0	39.0	Zoba Semienawi K'eyyih Bahri
ER.01	N9165314	16.5	37.5	Ansaba
ER.01	N9165314	16.5	37.5	Zoba ‘Anseba
ER.01	N9165314	16.5	37.5	Anseba
ER.01	N9165314	16.5	37.5	Zoba Ānseba
ER.01	N9165314	16.5	37.5	`Anseba
ER.01	N9165314	16.5	37.5	ዓንስባ
ER.03	N9165325	13.8	41.5	Debub-Keih-Bahri
ER.03	N9165325	13.8	41.5	Dabubawi Qayeh Bahri
ER.03	N9165325	13.8	41.5	Southern Red Sea
ER.03	N9165325	13.8	41.5	Debubawi K'eyyih Bahri
ER.03	N9165325	13.8	41.5	Debubawi K'eyyĭḥ Baḥri
ER.03	N9165325	13.8	41.5	DebubawiK'eyihBahri
ER.03	N9165325	13.8	41.5	Zoba Debubawī K'eyih Bahrī
ER.04	N9165333	15.2	37.5	Gas Barka
ER.04	N9165333	15.2	37.5	Gash-Barka
ER.04	N9165333	15.2	37.5	Zoba Gash-Barka
ER.04	N9165333	15.2	37.5	Gash Barka
ER.04	N9165333	15.2	37.5	Zoba Gash Barka
ER.04	N9165333	15.2	37.5	ዞባ ጋሽ ባርካ
SV.01	N-1144003	13.9	-89.9	Ahuachapan
SV.01	N-1144003	13.9	-89.9	Ahuachapán
SV.02	N-1144212	13.9	-88.8	Cabañas
SV.02	N-1144212	13.9	-88.8	Cabanas
SV.03	N-1144340	14.1	-89.0	Chalatenango
SV.03	N-1144340	14.1	-89.0	Chalatenango
SV.04	N-1144600	13.8	-89.0	Cuscatlan
SV.04	N-1144600	13.8	-89.0	Cuscatlán
SV.05	N-1146285	13.8	-89.4	La Libertad
SV.05	N-1146285	13.8	-89.4	Departamento de La Libertad
SV.06	N-1146354	13.5	-89.0	La Paz
SV.06	N-1146354	13.5	-89.0	Departamento de La Paz
SV.07	N-1146674	13.6	-87.9	Union
SV.07	N-1146674	13.6	-87.9	La Union
SV.07	N-1146674	13.6	-87.9	Departamento de La Union
SV.08	N-1147125	13.8	-88.1	Morazan
SV.08	N-1147125	13.8	-88.1	Departamento de Morazan
SV.09	N-1147981	13.5	-88.3	San Miguel
SV.09	N-1147981	13.5	-88.3	Departamento de San Miguel
SV.10	N-1148083	13.8	-89.2	San Salvador
SV.10	N-1148083	13.8	-89.2	Departamento de San Salvador
SV.11	N-1148111	14.1	-89.6	Santa Ana
SV.11	N-1148111	14.1	-89.6	Departamento de Santa Ana
SV.12	N-1148267	13.5	-88.8	San Vicente
SV.12	N-1148267	13.5	-88.8	Departamento de San Vicente
SV.13	N-1148342	13.7	-89.7	Sonsonate
SV.13	N-1148342	13.7	-89.7	Departamento de Sonsonate
SV.14	N-1148564	13.4	-88.5	Usulutan
SV.14	N-1148564	13.4	-88.5	Departamento de Usulutan
ET.54	N9087457	6.2	37.0	The State of Southern Nations, Nationalities and Peoples
ET.54	N9087457	6.2	37.0	Southern Nations and Nationalities Peoples Regional State
ET.54	N9087457	6.2	37.0	YeDebub Biheroch Bihereseboch na Hizboch
ET.54	N9087457	6.2	37.0	YeDebub Biheroch Bihereseboch na Hizboch Kilil
ET.54	N9087457	6.2	37.0	Southern Nations, Nationalities and Peoples
ET.44	N9087438	9.0	38.8	Adis Abeba
ET.44	N9087438	9.0	38.8	Adis Abeba Astedader
ET.44	N9087438	9.0	38.8	Addis Ababa
ET.45	N9087439	12.0	41.5	The State of Afar
ET.45	N9087439	12.0	41.5	Afar Regional State
ET.45	N9087439	12.0	41.5	Afar
ET.45	N9087439	12.0	41.5	Afar Kilil
ET.50	N9087448	9.2	42.2	The State of Harari People
ET.50	N9087448	9.2	42.2	Harari Regional State
ET.50	N9087448	9.2	42.2	Hareri Hizb
ET.50	N9087448	9.2	42.2	Hareri Hizb Kilil
ET.50	N9087448	9.2	42.2	Harari People
ET.51	N9087451	8.0	39.0	The State of Oromia
ET.51	N9087451	8.0	39.0	Oromia Regional State
ET.51	N9087451	8.0	39.0	Oromiya
ET.51	N9087451	8.0	39.0	Oromiya Kilil
ET.51	N9087451	8.0	39.0	Oromia
ET.52	N9087452	7.0	44.0	The State of Somalia
ET.52	N9087452	7.0	44.0	Somalia Regional State
ET.52	N9087452	7.0	44.0	Sumale
ET.52	N9087452	7.0	44.0	Sumale Kilil
ET.52	N9087452	7.0	44.0	Somali
ET.53	N9087455	14.2	38.8	The State of Tigray
ET.53	N9087455	14.2	38.8	Tigray Regional State
ET.53	N9087455	14.2	38.8	Tigray
ET.53	N9087455	14.2	38.8	Tigray
ET.46	N9087441	11.5	38.5	The State of Amhara
ET.46	N9087441	11.5	38.5	Amhara Regional State
ET.46	N9087441	11.5	38.5	Amara
ET.46	N9087441	11.5	38.5	Amara Kilil
ET.46	N9087441	11.5	38.5	Amhara
ET.47	N9087443	11.0	35.5	The State of Benshangul/Gumuz
ET.47	N9087443	11.0	35.5	Beneshangual Gumz Regional State
ET.47	N9087443	11.0	35.5	Binshangul Gumuz
ET.47	N9087443	11.0	35.5	Binshangul Gumuz Kilil
ET.48	N9087444	9.5	42.0	Dire Dawa
ET.48	N9087444	9.5	42.0	Dire Dawa Astedader
ET.49	N9087446	7.8	34.5	Gambela Regional State
ET.49	N9087446	7.8	34.5	Gambela Hizboch
ET.49	N9087446	7.8	34.5	Gambela Hizboch Kilil
ET.49	N9087446	7.8	34.5	Gambela Peoples
ET.49	N9087446	7.8	34.5	The State of Gambela Peoples
ET.0	N-621763	9.0	35.5	Welega
ET.55	N14355527	6.7	38.5	ሲዳማ ብሔራዊ ክልላዊ መንግሥት
ET.55	N14355527	6.7	38.5	ሲዳማ
ET.55	N14355527	6.7	38.5	Sidama
ET.55	N14355527	6.7	38.5	SidamaKilil
ET.55	N14355527	6.7	38.5	ሲዳማ
ET.55	N14355527	6.7	38.5	Sidama
ET.55	N14355527	6.7	38.5	Sidama Bihērawī Kililawī Menigisiti
CZ.81	N9044915	50.2	12.7	Karlovarsky Kraj
CZ.89	N9047309	50.5	13.8	Ustecky Kraj
CZ.82	N9044929	50.4	15.9	Kralovehradecky Kraj
CZ.79	N9044892	49.1	14.5	Budejovicky Kraj
CZ.79	N9044892	49.1	14.5	South Bohemian Region
CZ.79	N9044892	49.1	14.5	Budejovice Region
CZ.79	N9044892	49.1	14.5	South Bohemia
CZ.79	N9044892	49.1	14.5	Jihocesky Kraj
CZ.78	N9044878	49.2	16.6	Brnensky Kraj
CZ.78	N9044878	49.2	16.6	South Moravian Region
CZ.78	N9044878	49.2	16.6	Brno Region
CZ.78	N9044878	49.2	16.6	South Moravia
CZ.78	N9044878	49.2	16.6	Jihomoravsky Kraj
CZ.83	N9044937	50.8	15.0	Liberec
CZ.83	N9044937	50.8	15.0	Liberecky Kraj
CZ.85	N9047163	49.8	18.0	Ostravsky Kraj
CZ.85	N9047163	49.8	18.0	Ostrava Region
CZ.85	N9047163	49.8	18.0	Moravian and Silesian Region
CZ.85	N9047163	49.8	18.0	Moravia-Silesia
CZ.85	N9047163	49.8	18.0	Moravskoslezsky Kraj
CZ.84	N9044956	49.8	17.2	Olomouc
CZ.84	N9044956	49.8	17.2	Olomoucky Kraj
CZ.86	N9047169	49.8	16.1	Pardubice
CZ.86	N9047169	49.8	16.1	Pardubicky Kraj
CZ.87	N9047183	49.5	13.2	Pilsen
CZ.87	N9047183	49.5	13.2	Plzensky Kraj
CZ.88	N9047294	50.1	14.4	Central Bohemia
CZ.88	N9047294	50.1	14.4	Stredocesky Kraj
CZ.90	N9047320	49.2	17.8	Zlin
CZ.90	N9047320	49.2	17.8	Zlinsky Kraj
CZ.52	N-553174	50.1	14.5	Prague Independent City
CZ.52	N-553174	50.1	14.5	Praha
CZ.52	N-553174	50.1	14.5	Prague
CZ.52	N-553174	50.1	14.5	Hlavni Mesto Praha
CZ.52	N-553174	50.1	14.5	City of Prague
CZ.52	N-553174	50.1	14.5	Capital City of Prague
CZ.80	N9044913	49.4	15.5	Jihlava Region
